Date,PondLevel,Rain
2021-03-15,0,0.07200000000000001
2021-03-16,0,0.022000000000000002
2021-03-17,0,0.001
2021-03-18,0,0.442
2021-03-19,2,0.442
2021-03-20,1,0.0
2021-03-21,1,0.0
2021-03-22,1,0.0
2021-03-23,1,0.016
2021-03-24,1,0.0
2021-03-25,1,0.161
2021-03-26,1,0.121
2021-03-27,1,0.251
2021-03-28,1,0.312
2021-03-29,1,0.0
2021-03-30,1,0.0
2021-03-31,2,0.7120000000000001
2021-04-01,1,0.071
2021-04-02,1,0.0
2021-04-03,1,0.0
2021-04-04,1,0.0
2021-04-05,1,0.0
2021-04-06,1,0.0
2021-04-07,1,0.0
2021-04-08,1,1.1440000000000001
2021-04-09,1,0.162
2021-04-10,1,0.273
2021-04-11,1,0.011000000000000001
2021-04-12,1,0.0
2021-04-13,1,0.0
2021-04-14,1,0.153
2021-04-15,1,0.040999999999999995
2021-04-16,1,0.0
2021-04-17,1,0.002
2021-04-18,1,0.001
2021-04-19,1,0.302
2021-04-20,1,0.0
2021-04-21,1,0.0
2021-04-22,1,0.0
2021-04-23,1,0.0
2021-04-24,1,0.591
2021-04-25,1,0.01
2021-04-26,1,0.0
2021-04-27,1,0.0
2021-04-28,1,0.0
2021-04-29,1,0.001
2021-04-30,1,0.01
2021-05-01,1,0.0
2021-05-02,1,0.0
2021-05-03,1,0.303
2021-05-04,1,0.18
2021-05-05,1,0.002
2021-05-06,1,0.0
2021-05-07,1,0.004
2021-05-08,1,0.003
2021-05-09,1,0.002
2021-05-10,1,0.006
2021-05-11,1,0.0
2021-05-12,1,0.0
2021-05-13,1,0.0
2021-05-14,1,0.0
2021-05-15,1,0.0
2021-05-16,1,0.044000000000000004
2021-05-17,1,0.0
2021-05-18,1,0.012
2021-05-19,1,0.0
2021-05-20,1,0.0
2021-05-21,1,0.0
2021-05-22,1,0.0
2021-05-23,1,0.0
2021-05-24,1,0.001
2021-05-25,1,0.001
2021-05-26,1,0.002
2021-05-27,1,0.0
2021-05-28,1,0.623
2021-05-29,1,0.182
2021-05-30,1,0.004
2021-05-31,1,0.0
2021-06-01,1,0.0
2021-06-02,1,0.002
2021-06-03,1,0.052000000000000005
2021-06-04,1,0.001
2021-06-05,1,0.0
2021-06-07,1,0.0
2021-06-08,1,0.01
2021-06-09,1,0.382
2021-06-10,1,1.052
2021-06-11,1,2.47
2021-06-12,1,0.013999999999999999
2021-06-13,1,0.111
2021-06-14,1,0.0
2021-06-15,1,0.0
2021-06-16,0,0.001
2021-08-20,0,0.013999999999999999
2021-08-22,0,0.0
2021-08-23,0,0.0
2021-08-24,0,0.0
2021-08-25,0,0.0
2021-08-26,0,0.0
2021-08-27,0,0.0
2021-08-28,1,0.0
2021-08-29,1,0.0
2021-08-30,1,0.001
2021-08-31,1,0.0
2021-09-01,1,0.514
2021-09-02,1,0.0
2021-09-03,1,0.0
2021-09-04,1,0.0
2021-09-05,1,0.001
2021-09-06,1,0.023
2021-09-07,1,0.0
2021-09-08,1,0.001
2021-09-09,1,0.001
2021-09-10,1,0.0
2021-09-11,1,0.0
2021-09-12,1,0.0
2021-09-13,1,0.0
2021-09-14,1,0.0
2021-09-15,1,0.0
2021-09-16,1,0.051
2021-09-17,1,0.001
2021-09-18,1,0.001
2021-09-19,1,0.0
2021-09-20,1,0.0
2021-09-21,1,0.462
2021-09-22,1,0.52
2021-09-23,1,0.003
2021-09-24,1,0.0
2021-09-25,1,0.0
2021-09-26,1,0.0
2021-09-27,1,0.0
2021-09-28,1,0.0
2021-09-29,1,0.0
2021-09-30,1,0.0
2021-10-01,1,0.0
2021-10-02,1,0.0
2021-10-03,1,0.01
2021-10-04,1,0.001
2021-10-05,1,0.0
2021-10-06,1,0.001
2021-10-07,1,0.001
2021-10-08,1,0.0
2021-10-09,1,0.062
2021-10-10,1,0.0
2021-10-11,1,0.0
2021-10-12,1,0.0
2021-10-13,1,0.0
2021-10-14,1,0.0
2021-10-15,1,0.0
2021-10-16,1,0.032
2021-10-17,1,0.0
2021-10-18,1,0.0
2021-10-19,1,0.0
2021-10-20,1,0.0
2021-10-21,1,0.0
2021-10-22,1,0.001
2021-10-23,1,0.0
2021-10-24,1,0.023
2021-10-25,1,1.4709999999999999
2021-10-26,1,0.001
2021-10-27,1,0.0
2021-10-28,1,0.021
2021-10-29,1,0.882
2021-10-30,1,0.003
2021-10-31,1,0.0
2021-11-01,1,0.0
2021-11-02,1,0.151
2021-11-03,1,0.0
2021-11-04,1,0.0
2021-11-05,1,0.0
2021-11-06,1,0.0
2022-01-03,0,1.131
2022-01-04,0,0.0
2022-01-05,0,0.0
2022-01-06,0,0.0
2022-01-07,0,0.02
2022-01-08,0,0.0
2022-01-10,0,0.0
2022-01-11,0,0.0
2022-01-12,0,0.0
2022-01-13,0,0.003
2022-01-14,0,0.0
2022-01-15,0,0.0
2022-01-16,0,0.746
2022-01-17,0,0.006
2022-01-18,0,0.0
2022-01-19,0,0.0
2022-01-20,0,0.245
2022-01-21,0,0.0
2022-01-22,0,0.0
2022-01-23,0,0.0
2022-01-24,0,0.0
2022-01-25,0,0.0
2022-01-26,0,0.0
2022-01-27,0,0.0
2022-01-28,0,0.092
2022-01-29,0,0.003
2022-01-30,0,0.0
2022-01-31,0,0.0
2022-02-01,0,0.0
2022-02-02,0,0.0
2022-02-03,0,0.531
2022-02-04,0,0.353
2022-02-05,0,0.0
2022-02-06,0,0.0
2022-02-07,0,0.109
2022-02-08,0,0.0
2022-02-09,0,0.0
2022-02-10,0,0.0
2022-02-11,0,0.0
2022-02-12,0,0.0
2022-02-13,0,0.14400000000000002
2022-02-14,0,0.0
2022-02-15,0,0.0
2022-02-16,0,0.0
2022-02-17,0,0.001
2022-02-18,0,0.31
2022-02-19,0,0.0
2022-02-20,0,0.0
2022-02-21,0,0.0
2022-02-22,0,0.252
2022-02-23,0,0.152
2022-02-24,0,0.6970000000000001
2022-02-25,0,0.008
2022-02-26,0,0.0
2022-02-27,0,0.0
2022-02-28,0,0.0
2022-03-02,0,0.0
2022-03-03,0,0.0
2022-03-05,0,0.0
2022-03-06,1,0.0
2022-03-07,1,0.12300000000000001
2022-03-08,1,0.0
2022-03-09,1,0.531
2022-03-10,1,0.0
2022-03-11,1,0.0
2022-03-12,1,0.435
2022-03-13,1,0.0
2022-03-14,1,0.0
2022-03-15,1,0.0
2022-03-16,1,0.012
2022-03-17,2,0.451
2022-03-18,1,0.0
2022-03-19,1,0.0
2022-03-20,1,0.0
2022-03-21,1,0.0
2022-03-22,1,0.0
2022-03-23,1,0.602
2022-03-24,1,0.0
2022-03-25,1,0.0
2022-03-26,1,0.004
2022-03-27,1,0.0
2022-03-28,1,0.0
2022-03-29,1,0.0
2022-03-30,1,0.0
2022-03-31,1,0.16399999999999998
2022-04-01,1,0.01
2022-04-02,1,0.0
2022-04-03,1,0.0
2022-04-04,1,0.0
2022-04-05,1,0.17300000000000001
2022-04-06,1,0.1
2022-04-07,1,0.205
2022-04-08,1,0.001
2022-04-09,1,0.003
2022-04-10,1,0.0
2022-04-11,1,0.0
2022-04-12,1,0.002
2022-04-13,1,0.0
2022-04-14,1,0.0
2022-04-15,1,0.0
2022-04-16,1,0.0
2022-04-17,1,0.0
2022-04-18,1,1.024
2022-04-19,1,0.0
2022-04-20,1,0.0
2022-04-21,1,0.001
2022-04-22,1,0.0
2022-04-23,1,0.0
2022-04-24,1,0.0
2022-04-25,1,0.0
2022-04-26,1,0.045
2022-04-27,1,0.0
2022-04-28,1,0.0
2022-04-29,1,0.0
2022-04-30,1,0.034
2022-05-01,1,0.002
2022-05-02,1,0.0
2022-05-03,1,0.001
2022-05-04,1,0.0
2022-05-05,1,0.0
2022-05-06,1,0.204
2022-05-07,1,0.055
2022-05-08,1,0.001
2022-05-09,1,0.0
2022-05-10,1,0.0
2022-05-11,1,0.0
2022-05-12,1,0.003
2022-05-13,1,0.045
2022-05-14,1,0.171
2022-05-15,1,0.0
2022-05-16,1,0.003
2022-05-17,1,0.0
2022-05-18,1,0.0
2022-05-19,1,0.0
2022-05-20,1,0.0
2022-05-21,1,0.002
2022-05-22,1,0.131
2022-05-23,1,0.446
2022-05-24,1,1.261
2022-05-25,1,1.261
2022-05-26,1,0.0
2022-05-27,1,0.9309999999999999
2022-05-28,1,0.031
2022-05-29,1,0.0
2022-05-30,1,0.0
2022-05-31,1,0.0
2022-06-01,1,0.001
2022-06-02,1,0.20199999999999999
2022-06-03,1,0.0
2022-06-04,1,0.0
2022-06-05,1,0.0
2022-06-06,1,0.0
2022-06-06,1,0.0
2022-06-07,1,0.0
2022-06-08,1,0.0
2022-06-09,1,0.0
2022-12-14,0,0.0
2022-12-15,0,0.0
2022-12-16,0,0.0
2022-12-17,0,0.0
2022-12-18,0,0.0
2022-12-19,0,0.0
